lcv_name,state,party,chamber,year,score,lifetime_score,source_url
"Britt, Katie",Alabama,R,senate,2025,0,2,https://www.lcv.org/moc/katie-britt/
"Tuberville, Tommy",Alabama,R,senate,2025,0,3,https://www.lcv.org/moc/tommy-tuberville/
"Murkowski, Lisa",Alaska,R,senate,2025,20,20,https://www.lcv.org/moc/lisa-a-murkowski/
"Sullivan, Dan",Alaska,R,senate,2025,3,8,https://www.lcv.org/moc/dan-sullivan/
"Gallego, Ruben",Arizona,D,senate,2025,86,93,https://www.lcv.org/moc/ruben-gallego/
"Kelly, Mark",Arizona,D,senate,2025,91,93,https://www.lcv.org/moc/mark-kelly/
"Boozman, John",Arkansas,R,senate,2025,3,8,https://www.lcv.org/moc/john-n-boozman/
"Cotton, Tom",Arkansas,R,senate,2025,3,5,https://www.lcv.org/moc/tom-cotton/
"Padilla, Alex",California,D,senate,2025,97,96,https://www.lcv.org/moc/alex-padilla/
"Schiff, Adam",California,D,senate,2025,97,98,https://www.lcv.org/moc/adam-b-schiff/
"Bennet, Michael",Colorado,D,senate,2025,94,91,https://www.lcv.org/moc/michael-bennet/
"Hickenlooper, John",Colorado,D,senate,2025,91,94,https://www.lcv.org/moc/john-hickenlooper/
"Blumenthal, Richard",Connecticut,D,senate,2025,97,98,https://www.lcv.org/moc/richard-blumenthal/
"Murphy, Chris",Connecticut,D,senate,2025,97,97,https://www.lcv.org/moc/chris-s-murphy/
"Blunt Rochester, Lisa",Delaware,D,senate,2025,97,98,https://www.lcv.org/moc/lisa-blunt-rochester/
"Coons, Chris",Delaware,D,senate,2025,100,95,https://www.lcv.org/moc/chris-coons/
"Moody, Ashley",Florida,R,senate,2025,0,0,https://www.lcv.org/moc/ashley-moody/
"Scott, Rick",Florida,R,senate,2025,0,3,https://www.lcv.org/moc/rick-scott/
"Ossoff, Jon",Georgia,D,senate,2025,94,96,https://www.lcv.org/moc/jon-ossoff/
"Warnock, Raphael",Georgia,D,senate,2025,91,96,https://www.lcv.org/moc/raphael-warnock/
"Hirono, Mazie",Hawaii,D,senate,2025,100,96,https://www.lcv.org/moc/mazie-k-hirono/
"Schatz, Brian",Hawaii,D,senate,2025,97,97,https://www.lcv.org/moc/brian-emanuel-schatz/
"Crapo, Michael",Idaho,R,senate,2025,3,7,https://www.lcv.org/moc/michael-d-crapo/
"Risch, Jim",Idaho,R,senate,2025,3,8,https://www.lcv.org/moc/jim-risch/
"Duckworth, Tammy",Illinois,D,senate,2025,100,94,https://www.lcv.org/moc/tammy-duckworth/
"Durbin, Dick",Illinois,D,senate,2025,97,90,https://www.lcv.org/moc/dick-durbin/
"Banks, Jim",Indiana,R,senate,2025,3,1,https://www.lcv.org/moc/jim-banks/
"Young, Todd",Indiana,R,senate,2025,3,7,https://www.lcv.org/moc/todd-young/
"Ernst, Joni",Iowa,R,senate,2025,0,7,https://www.lcv.org/moc/joni-ernst/
"Grassley, Chuck",Iowa,R,senate,2025,0,17,https://www.lcv.org/moc/chuck-e-grassley/
"Marshall, Roger",Kansas,R,senate,2025,0,5,https://www.lcv.org/moc/roger-marshall/
"Moran, Jerry",Kansas,R,senate,2025,0,8,https://www.lcv.org/moc/jerry-moran/
"McConnell, Mitch",Kentucky,R,senate,2025,3,8,https://www.lcv.org/moc/mitch-mcconnell/
