bioguide_id,name,party,state,chamber,committees,top_industries_current_cycle,interest_group_ratings,external_links,notes
M001153,Lisa Murkowski,R,AK,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/lisa_murkowski/300075"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00026050""}",
S001198,Dan Sullivan,R,AK,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/dan_sullivan/412665"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00035774""}",
B001319,Katie Britt,R,AL,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/katie_britt/456874"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00048812""}",
T000278,Tommy Tuberville,R,AL,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/tommy_tuberville/456796"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00044434""}",
B001236,John Boozman,R,AR,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/john_boozman/400040"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00013873""}",
C001095,Tom Cotton,R,AR,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/tom_cotton/412508"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00033363""}",
G000574,Ruben Gallego,D,AZ,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/ruben_gallego/412612"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00036097""}",
K000377,Mark Kelly,D,AZ,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/mark_kelly/456794"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00044223""}",
P000145,Alex Padilla,D,CA,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/alejandro_padilla/456856"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00047888""}",
S001150,Adam Schiff,D,CA,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/adam_schiff/400361"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00009585""}",
B001267,Michael Bennet,D,CO,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/michael_bennet/412330"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00030608""}",
H000273,John Hickenlooper,D,CO,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/john_hickenlooper/456797"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00044206""}",
B001277,Richard Blumenthal,D,CT,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/richard_blumenthal/412490"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00031685""}",
M001169,Christopher Murphy,D,CT,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/christopher_murphy/412194"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00027566""}",
C001088,Christopher Coons,D,DE,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/christopher_coons/412390"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00031820""}",
B001303,Lisa Blunt Rochester,D,DE,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/lisa_blunt_rochester/412689"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00038414""}",
M001244,Ashley Moody,R,FL,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/ashley_moody/457033""}",
S001217,Rick Scott,R,FL,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/rick_scott/412838"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00043290""}",
O000174,Jon Ossoff,D,GA,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/jon_ossoff/456857"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00040675""}",
W000790,Raphael Warnock,D,GA,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/raphael_warnock/456858"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00046489""}",
H001042,Mazie Hirono,D,HI,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/mazie_hirono/412200"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00028139""}",
S001194,Brian Schatz,D,HI,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/brian_schatz/412507"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00028138""}",
E000295,Joni Ernst,R,IA,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/joni_ernst/412667"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00035483""}",
G000386,Chuck Grassley,R,IA,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/charles_grassley/300048"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00001758""}",
C000880,Mike Crapo,R,ID,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/michael_crapo/300030"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00006267""}",
R000584,James Risch,R,ID,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/james_risch/412322"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00029441""}",
D000622,Tammy Duckworth,D,IL,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/tammy_duckworth/412533"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00027860""}",
