bioguide_id,role_title,role_title_source,verdict
EXEC-AUSTIN-L,Secretary of Defense,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title10-section113&num=0&edition=prelim,OK
EXEC-BECERRA-X,Secretary of Health and Human Services,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title5-section5312&num=0&edition=prelim,OK
EXEC-BESSENT-S,Secretary of the Treasury,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title31-section301&num=0&edition=prelim,OK
EXEC-BIDEN-JR,President of the United States,https://www.archives.gov/founding-docs/constitution-transcript,OK
EXEC-BLINKEN-A,Secretary of State,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title22-section2651a&num=0&edition=prelim,OK
EXEC-BONDI-P,Attorney General,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title28-section503&num=0&edition=prelim,OK
EXEC-BURGUM-D,Secretary of the Interior,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title43-section1451&num=0&edition=prelim,OK
EXEC-BUSH-GHW,President of the United States,https://www.archives.gov/founding-docs/constitution-transcript,OK
EXEC-BUSH-GW,President of the United States,https://www.archives.gov/founding-docs/constitution-transcript,OK
EXEC-BUTTIGIEG-P,Secretary of Transportation,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title49-section102&num=0&edition=prelim,OK
EXEC-CARDONA-M,Secretary of Education,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title20-section3411&num=0&edition=prelim,OK
EXEC-CARTER-J,President of the United States,https://www.archives.gov/founding-docs/constitution-transcript,OK
EXEC-CHAVEZDEREMER-L,Secretary of Labor,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title29-section551&num=0&edition=prelim,OK
EXEC-CLINTON-B,President of the United States,https://www.archives.gov/founding-docs/constitution-transcript,OK
EXEC-CLINTON-H,Secretary of State,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title22-section2651a&num=0&edition=prelim,OK
EXEC-COLLINS-D,Secretary of Veterans Affairs,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title38-section303&num=0&edition=prelim,OK
EXEC-DUFFY-S,Secretary of Transportation,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title49-section102&num=0&edition=prelim,OK
EXEC-GABBARD-T,Director of National Intelligence,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title50-section3023&num=0&edition=prelim,OK
EXEC-GARLAND-M,Attorney General,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title28-section503&num=0&edition=prelim,OK
EXEC-GRANHOLM-J,Secretary of Energy,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title42-section7131&num=0&edition=prelim,OK
EXEC-GREER-J,United States Trade Representative,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title19-section2171&num=0&edition=prelim,OK
EXEC-HAALAND-D,Secretary of the Interior,https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title43-section1451&num=0&edition=prelim,OK
EXEC-HARRIS-K,Vice President of the United States,https://www.archives.gov/founding-docs/constitution-transcript,OK
