kind,mention,mention_norm,article_count,category_spread,top_category,catalog_status,suggested_type,suggested_canonical_id,matched_article_count,linked_article_count,signal,proposed_dossier_type
person,Trump,trump,16216,10,politics,substring,politician,EXEC-TRUMP-DJ,,,entity_extractor,
organization,New York Post,new york post,6305,10,entertainment,exact,outlet,new-york-post,6305,5,entity_extractor,
organization,Sports Illustrated,sports illustrated,6104,7,sports,exact,outlet,sports-illustrated,6105,2,entity_extractor,
organization,FOX News,fox news,3740,10,politics,exact,outlet,fox-news,3740,40,entity_extractor,
organization,Trump Administration,trump administration,2787,10,politics,none,,,,,entity_extractor,
organization,Bloomberg,bloomberg,2631,10,business,substring,outlet,bloomberg,,,entity_extractor,
organization,CBS News,cbs news,2481,10,politics,exact,outlet,cbs-news,2482,15,entity_extractor,
organization,CBS Sports,cbs sports,2117,3,sports,exact,outlet,cbs-sports,2117,5,entity_extractor,
organization,Forbes,forbes,2078,10,technology,exact,outlet,forbes,2078,0,entity_extractor,
organization,Supreme Court,supreme court,2018,10,politics,substring,org,supreme-court-of-the-united-states,,,entity_extractor,
organization,Democratic Party,democratic party,1690,8,politics,none,,,,,entity_extractor,
organization,Netflix,netflix,1672,8,entertainment,none,,,,,entity_extractor,
organization,White House,white house,1610,10,politics,exact,org,the-white-house,1610,38,entity_extractor,
organization,New York Times,new york times,1579,10,entertainment,exact,outlet,the-new-york-times,1581,182,entity_extractor,
organization,Iran,iran,1416,8,world,substring,politician,EXEC-MIRAN-S,,,entity_extractor,
organization,ESPN,espn,1383,7,sports,exact,outlet,espn,1383,6,entity_extractor,
organization,FIFA,fifa,1324,9,sports,none,,,,,entity_extractor,
organization,Congress,congress,1245,10,politics,substring,org,united-states-congress,,,entity_extractor,
organization,Federal Reserve,federal reserve,1237,6,business,substring,org,federal-reserve-system,,,entity_extractor,
organization,Senate,senate,1232,9,politics,substring,org,united-states-senate,,,entity_extractor,
organization,OpenAI,openai,1218,9,technology,none,,,,,entity_extractor,
